colour	x	y	group	showSelectedlegendcolour	clickSelects	PANEL
#377EB8	21	0.00870047865382898	1	1	1	3
#377EB8	22	0.00940277162115095	1	1	1	3
#377EB8	23	0.00947600194471075	1	1	1	3
#377EB8	24	0.0100658190372804	1	1	1	3
#377EB8	25	0.0108838797381816	1	1	1	3
#377EB8	26	0.0115315925387421	1	1	1	3
#377EB8	27	0.012204903797069	1	1	1	3
#377EB8	28	0.0129036463242754	1	1	1	3
#377EB8	29	0.0130602514915027	1	1	1	3
#377EB8	30	0.013648511272768	1	1	1	3
#4DAF4A	1	0.00284491387720516	2	2	2	3
#4DAF4A	2	0.00469254397534102	2	2	2	3
#4DAF4A	3	0.00514857699439628	2	2	2	3
#4DAF4A	4	0.00612833901271013	2	2	2	3
#4DAF4A	5	0.00725106344323486	2	2	2	3
#4DAF4A	6	0.00870700373520474	2	2	2	3
#4DAF4A	7	0.0103784583293752	2	2	2	3
#4DAF4A	8	0.011525251141371	2	2	2	3
#4DAF4A	9	0.0127942067565071	2	2	2	3
#4DAF4A	10	0.0141552325600839	2	2	2	3
#4DAF4A	11	0.0147412332025351	2	2	2	3
#4DAF4A	12	0.0164278491125152	2	2	2	3
#4DAF4A	13	0.0172037576932269	2	2	2	3
#4DAF4A	14	0.0184155177049697	2	2	2	3
#4DAF4A	15	0.0193010411812368	2	2	2	3
#4DAF4A	16	0.0202716520951983	2	2	2	3
#4DAF4A	17	0.0215532429016638	2	2	2	3
#4DAF4A	18	0.0224531135815207	2	2	2	3
#4DAF4A	19	0.0234519039654902	2	2	2	3
#4DAF4A	20	0.0241215941761898	2	2	2	3
#4DAF4A	21	0.0249801760729271	2	2	2	3
#4DAF4A	22	0.025932302595581	2	2	2	3
#4DAF4A	23	0.0265709994934414	2	2	2	3
#4DAF4A	24	0.0272586976146409	2	2	2	3
#4DAF4A	25	0.028095174194235	2	2	2	3
#4DAF4A	26	0.0288837475463906	2	2	2	3
#4DAF4A	27	0.0296910767967393	2	2	2	3
