linetype	x	showSelectedlegendlinetype	PANEL	group
solid	1.76884422110553	prediction	2	351
solid	1.79396984924623	prediction	2	352
solid	1.81909547738693	prediction	2	353
solid	1.84422110552764	prediction	2	354
solid	1.86934673366834	prediction	2	355
solid	1.89447236180905	prediction	2	356
solid	1.91959798994975	prediction	2	357
solid	1.94472361809045	prediction	2	358
solid	1.96984924623116	prediction	2	359
solid	1.99497487437186	prediction	2	360
solid	2.02010050251256	prediction	2	361
solid	2.04522613065327	prediction	2	362
solid	2.07035175879397	prediction	2	363
solid	2.09547738693467	prediction	2	364
solid	2.12060301507538	prediction	2	365
solid	2.14572864321608	prediction	2	366
solid	2.17085427135678	prediction	2	367
solid	2.19597989949749	prediction	2	368
solid	2.22110552763819	prediction	2	369
solid	2.24623115577889	prediction	2	370
solid	2.2713567839196	prediction	2	371
solid	2.2964824120603	prediction	2	372
solid	2.32160804020101	prediction	2	373
solid	2.34673366834171	prediction	2	374
solid	2.37185929648241	prediction	2	375
solid	2.39698492462312	prediction	2	376
solid	2.42211055276382	prediction	2	377
solid	2.44723618090452	prediction	2	378
solid	2.47236180904523	prediction	2	379
solid	2.49748743718593	prediction	2	380
solid	2.52261306532663	prediction	2	381
solid	2.54773869346734	prediction	2	382
solid	2.57286432160804	prediction	2	383
solid	2.59798994974874	prediction	2	384
solid	2.62311557788945	prediction	2	385
solid	2.64824120603015	prediction	2	386
solid	2.67336683417085	prediction	2	387
solid	2.69849246231156	prediction	2	388
solid	2.72361809045226	prediction	2	389
solid	2.74874371859296	prediction	2	390
solid	2.77386934673367	prediction	2	391
solid	2.79899497487437	prediction	2	392
solid	2.82412060301508	prediction	2	393
solid	2.84924623115578	prediction	2	394
solid	2.87437185929648	prediction	2	395
solid	2.89949748743719	prediction	2	396
solid	2.92462311557789	prediction	2	397
solid	2.94974874371859	prediction	2	398
solid	2.9748743718593	prediction	2	399
solid	3	prediction	2	400
solid	-2	prediction	3	401
solid	-1.9748743718593	prediction	3	402
solid	-1.94974874371859	prediction	3	403
solid	-1.92462311557789	prediction	3	404
solid	-1.89949748743719	prediction	3	405
solid	-1.87437185929648	prediction	3	406
solid	-1.84924623115578	prediction	3	407
solid	-1.82412060301508	prediction	3	408
solid	-1.79899497487437	prediction	3	409
solid	-1.77386934673367	prediction	3	410
solid	-1.74874371859296	prediction	3	411
solid	-1.72361809045226	prediction	3	412
solid	-1.69849246231156	prediction	3	413
solid	-1.67336683417085	prediction	3	414
solid	-1.64824120603015	prediction	3	415
solid	-1.62311557788945	prediction	3	416
solid	-1.59798994974874	prediction	3	417
solid	-1.57286432160804	prediction	3	418
solid	-1.54773869346734	prediction	3	419
solid	-1.52261306532663	prediction	3	420
solid	-1.49748743718593	prediction	3	421
solid	-1.47236180904523	prediction	3	422
solid	-1.44723618090452	prediction	3	423
solid	-1.42211055276382	prediction	3	424
solid	-1.39698492462312	prediction	3	425
solid	-1.37185929648241	prediction	3	426
solid	-1.34673366834171	prediction	3	427
solid	-1.32160804020101	prediction	3	428
solid	-1.2964824120603	prediction	3	429
solid	-1.2713567839196	prediction	3	430
solid	-1.24623115577889	prediction	3	431
solid	-1.22110552763819	prediction	3	432
solid	-1.19597989949749	prediction	3	433
solid	-1.17085427135678	prediction	3	434
solid	-1.14572864321608	prediction	3	435
solid	-1.12060301507538	prediction	3	436
solid	-1.09547738693467	prediction	3	437
solid	-1.07035175879397	prediction	3	438
solid	-1.04522613065327	prediction	3	439
solid	-1.02010050251256	prediction	3	440
solid	-0.994974874371859	prediction	3	441
solid	-0.969849246231156	prediction	3	442
solid	-0.944723618090452	prediction	3	443
solid	-0.919597989949749	prediction	3	444
solid	-0.894472361809045	prediction	3	445
solid	-0.869346733668342	prediction	3	446
solid	-0.844221105527638	prediction	3	447
solid	-0.819095477386935	prediction	3	448
solid	-0.793969849246231	prediction	3	449
solid	-0.768844221105528	prediction	3	450
solid	-0.743718592964824	prediction	3	451
solid	-0.71859296482412	prediction	3	452
solid	-0.693467336683417	prediction	3	453
solid	-0.668341708542713	prediction	3	454
solid	-0.64321608040201	prediction	3	455
solid	-0.618090452261306	prediction	3	456
solid	-0.592964824120603	prediction	3	457
solid	-0.567839195979899	prediction	3	458
solid	-0.542713567839196	prediction	3	459
solid	-0.517587939698492	prediction	3	460
solid	-0.492462311557789	prediction	3	461
solid	-0.467336683417085	prediction	3	462
solid	-0.442211055276382	prediction	3	463
solid	-0.417085427135678	prediction	3	464
solid	-0.391959798994975	prediction	3	465
solid	-0.366834170854271	prediction	3	466
solid	-0.341708542713568	prediction	3	467
solid	-0.316582914572864	prediction	3	468
solid	-0.291457286432161	prediction	3	469
solid	-0.266331658291457	prediction	3	470
solid	-0.241206030150754	prediction	3	471
solid	-0.21608040201005	prediction	3	472
solid	-0.190954773869347	prediction	3	473
solid	-0.165829145728643	prediction	3	474
solid	-0.14070351758794	prediction	3	475
solid	-0.115577889447236	prediction	3	476
solid	-0.0904522613065326	prediction	3	477
solid	-0.0653266331658291	prediction	3	478
solid	-0.0402010050251256	prediction	3	479
solid	-0.0150753768844221	prediction	3	480
solid	0.0100502512562817	prediction	3	481
solid	0.0351758793969852	prediction	3	482
solid	0.0603015075376887	prediction	3	483
solid	0.0854271356783922	prediction	3	484
solid	0.110552763819096	prediction	3	485
solid	0.135678391959799	prediction	3	486
solid	0.160804020100503	prediction	3	487
solid	0.185929648241206	prediction	3	488
